일자,장소,인물,대사,화면 연출,배경음악,표정,비고,퀘스트,퀘스트 내용
0일차 밤,집,나레이션,모든 것은 이 비밀스러운 초대장으로부터 시작되었다.,암전,메인테마 잔잔하게,,,,
0일차 밤,집,나레이션,"꽃이 잠에 들고 여린 초록 이파리가 안개에 먹힌 새벽,",암전,,,,,
0일차 밤,집,나레이션,여느 날처럼 카페를 오픈하기 위해,암전,,,,,
0일차 밤,집,나레이션,아무도 없는 거리를 지나 막 문 앞에 도착했을 때였다.,암전,,,,,
0일차 밤,집,나레이션,"우체통에 꽂힌 수많은 흰 봉투 사이, ",암전,,,,,
0일차 밤,집,나레이션,낯선 보라색 봉투 하나가 시선을 빼앗았다.,비밀 초대장,,,,,
0일차 밤,집,나레이션,그것은 빛나는 왁스로 정성스럽게 실링되어 아름답게 반짝이고 있었다.,비밀 초대장,,,,,
0일차 밤,집,나레이션,천천히 편지 봉투를 여는 순간 달콤한 향기가 퍼지며 눈앞에 글자들이 나타났다.,비밀 초대장,,,,,
0일차 밤,집,초대장,Welcome To Lunar Express,초대장이 반짝거림,반짝임,,,,
0일차 밤,집,초대장,~당신을 루나 익스프레스로 초대합니다~,비밀 초대장,,,,,
0일차 밤,집,초대장,Bluna Station,비밀 초대장,,,,,
0일차 밤,집,초대장,Tomorrow 15:00,비밀 초대장,,,,,
0일차 밤,집,솔,루나 익스프레스?,비밀 초대장,,놀람,,,
0일차 밤,집,나레이션,언젠가 한 번 소문으로 들어본 적이 있었다.,비밀 초대장,,,,,
0일차 밤,집,나레이션,"열차에 관한 정보는 커녕, 탑승지조차 알려지지 않아서",비밀 초대장,,,,,
0일차 밤,집,나레이션,오로지 초대장을 받은 사람만 탑승할 수 있다던,비밀 초대장,,,,,
0일차 밤,집,나레이션,비밀스러운 열차.,비밀 초대장,,,,,
0일차 밤,집,나레이션,내가 받은 편지에 그 탑승지의 위치가 적혀 있었다. ,비밀 초대장,,,,,
0일차 밤,집,솔,...,비밀 초대장,,당황,,,
